BIB,COD,ERG,FAN,GJAH,LUK,MYR,NUS,PKD,RAS,id,SIS,TOK,UIN,VOL,WET,KAT,XIN,Class
160,iii,www,80.0,iii,5.0,eee,800000.0,xxx,t,0,1.75,t,17.92,f,1,ccc,t,n
153,uuu,aaa,200.0,rrr,0.0,mmm,2000000.0,xxx,,1,0.29,f,16.92,f,0,ddd,f,n
5,iii,www,96.0,iii,19.0,hh,960000.0,hh,t,2,0.0,f,31.25,f,1,ddd,t,n
9,iii,www,0.0,iii,120.0,kkk,0.0,qqq,,3,0.335,f,48.17,f,0,ccc,f,n
40,iii,www,232.0,iii,0.0,mmm,2320000.0,xxx,f,4,0.5,t,32.33,f,0,ddd,f,n
8,iii,aaa,160.0,rrr,0.0,kkk,1600000.0,jjj,f,5,0.5,t,34.83,f,0,ccc,f,n
152,iii,www,276.0,iii,1.0,lll,2760000.0,lll,,6,0.0,t,26.17,f,0,ccc,f,n
176,iii,aaa,280.0,rrr,204.0,eee,2800000.0,jjj,,7,0.25,f,21.17,f,0,ddd,f,n
154,iii,www,220.0,iii,140.0,eee,2200000.0,xxx,,8,0.29,f,28.92,f,0,ddd,f,n
95,iii,www,320.0,iii,13.0,eee,3200000.0,jjj,,9,1.085,f,18.17,f,0,ddd,f,n
121,iii,www,280.0,iii,1.0,sss,2800000.0,jjj,f,10,1.5,f,24.75,f,0,ccc,f,n
155,iii,aaa,160.0,rrr,20.0,lll,1600000.0,lll,f,11,0.0,f,31.75,f,0,ccc,f,n
91,iii,aaa,340.0,rrr,0.0,sss,3400000.0,jjj,f,12,0.165,f,18.17,f,0,ccc,f,n
91,iii,www,120.0,iii,1.0,yyy,1200000.0,xxx,,13,1.0,f,18.25,f,1,ccc,t,n
91,iii,www,120.0,iii,1.0,yyy,1200000.0,jjj,t,14,0.165,f,17.58,f,1,ddd,t,n
19,iii,aaa,120.0,rrr,1.0,hh,1200000.0,hh,,15,1.5,f,51.83,f,0,ddd,f,n
125,iii,www,178.0,iii,0.0,kkk,1780000.0,ff,f,16,0.0,t,26.67,f,0,ddd,f,n
128,iii,www,120.0,iii,0.0,eee,1200000.0,xxx,f,17,0.5,f,31.42,t,0,ddd,f,n
37,iii,www,416.0,iii,21.0,eee,4160000.0,jjj,t,18,2.29,t,25.67,f,1,ddd,t,n
31,iii,www,180.0,iii,0.0,kkk,1800000.0,ff,f,19,0.0,f,33.75,f,0,ddd,f,n
